eval/episode_length,eval/episode_length_std,eval/normalized_episode_reward,eval/normalized_episode_reward_std,loss/actor,loss/critic1,loss/critic2,timestep
800.0,0.0,13.432200444905712,11.871789174306741,0.9489978857040411,0.0020459802520344963,0.0023824850259115938,250
800.0,0.0,21.01260176461463,23.39270848509765,0.3937071430683137,0.000982479580270592,0.0009796839650953186,500
800.0,0.0,-3.614985654805151,-4.04590240215695,0.6167419466972349,0.011038697584765035,0.010598555242409914,750
800.0,0.0,9.289993096355333,14.887448877359096,0.4641539664268492,0.001076112597831524,0.001056047782069073,1000
800.0,0.0,-1.3866724046349976,8.002963549985601,0.238796489357948,0.0008927959072752853,0.0008824320107814864,1250
800.0,0.0,6.717451424546228,7.739243581334858,-0.017112033486366265,0.0008342378466622904,0.0007921748469234439,1500
800.0,0.0,2.289398363469789,9.699784182121295,-0.24586441802978512,0.0007282723748940046,0.0006890521644381792,1750
800.0,0.0,4.335001040403442,7.244803699631482,-0.43932171964645395,0.0007381645026034665,0.0006770439191604961,2000
800.0,0.0,5.935848849713675,6.145855805176601,-0.5591483085155493,0.0007272309006657449,0.0006292481850250629,2250
800.0,0.0,4.200496012867785,14.512578479028281,-0.6938082282543184,0.0006493589224992312,0.0005710701165371568,2500
800.0,0.0,13.003581714224923,15.100651513264255,-0.8437612495422363,0.0006351067793730182,0.0005633119085687212,2750
800.0,0.0,-2.1689083403982528,4.780385948648513,-0.9456889553070066,0.0006150782723561866,0.0005175707135349509,3000
800.0,0.0,7.778330670577996,12.04067819230332,-1.0373713393211368,0.0005920598460361354,0.0004784249789081512,3250
800.0,0.0,-2.2940401000371566,5.602181313690116,-1.1096525754928583,0.000597731340036262,0.0004886032674694435,3500
800.0,0.0,-3.221411689025687,6.213379306891179,-1.1604481363296513,0.000580974359123502,0.0004695313767879269,3750
800.0,0.0,13.757769955829605,19.688836821236567,-1.2153923468589776,0.0005223212678101843,0.00040369609749177484,4000
