eval/episode_length,eval/episode_length_std,eval/normalized_episode_reward,eval/normalized_episode_reward_std,loss/actor,loss/critic1,loss/critic2,timestep
49.9,0.7000000000000001,3.0451552834875733,0.6590219207727314,-2.0766130065917983,0.0446397347804159,0.03325582020543512,250
42.9,0.9433981132056604,2.7743074647458115,0.6745975125991627,-2.06994050216675,0.01303397446870803,0.012674960087984797,500
37.4,0.66332495807108,2.5086297327143314,0.6518014653672289,-2.0586030836105356,0.0335438031852246,0.02975736715272067,750
36.5,0.806225774829855,2.462719035769739,0.664527992048368,-2.0534503221511833,0.03911892372742296,0.03765775272250176,1000
40.5,0.806225774829855,2.657995951481095,0.6644503154236532,-2.0474005050659176,0.05582960114628078,0.054084324620664086,1250
33.6,0.8,2.326678441061709,0.6650042639089326,-2.0412938547134374,0.07423573128879059,0.07201489800959829,1500
35.7,0.9,2.424658056906443,0.6672460269176559,-2.0425802335739114,0.09539232178032397,0.09233003586530679,1750
34.8,0.8717797887081347,2.398739658498978,0.6697169742599479,-2.043351432800292,0.11971882934868341,0.1181114257499575,2000
32.3,0.6403124237432849,2.2661880842589275,0.6543999142019917,-2.0449995336532596,0.1514624389111996,0.14925182369351392,2250
36.7,0.7810249675906654,2.4721656895050472,0.6657665461477796,-2.047257103919983,0.17638804206252084,0.17747535207867635,2500
33.6,0.7999999999999999,2.322532437000718,0.6664929673319345,-2.051274366378787,0.2231751976311208,0.22495514595508562,2750
34.0,0.4472135954999579,2.348738877203429,0.6485426387725702,-2.0577174644470193,0.24939077919721583,0.25355927568674075,3000
61.6,22.39285600364545,4.44724287227549,2.4738248493452746,-2.0603552408218357,0.32559509506821627,0.3295384225249292,3250
39.9,0.5385164807134504,2.663203071185637,0.6552069845170136,-2.062568991661074,0.3538342847526076,0.36615900522470474,3500
95.1,0.8306623862918076,7.253196613844884,0.6741437254809809,-2.0667176322937015,0.37589503675699193,0.39151376062631577,3750
87.4,0.4898979485566356,6.670520379150522,0.660029686962364,-2.067738824844362,0.41540188139677064,0.44033832377195364,4000
91.1,0.5385164807134505,7.016716460485917,0.6617799973062025,-2.0670671119689965,0.4875786616206166,0.5050950012803075,4250
82.8,0.8717797887081347,6.278475149282192,0.6877747825544905,-2.0710849590301534,0.5099217022657392,0.540526986241341,4500
88.6,0.6633249580710799,6.790206271343092,0.6693701385841981,-2.0716830759048452,0.5499864448308945,0.5845069777369496,4750
93.7,0.6403124237432849,7.0867436843796785,0.6618046105305755,-2.0748794021606476,0.6277479292154315,0.6649831024408338,5000
91.4,0.66332495807108,6.980674802673986,0.6610933606608184,-2.078266293525698,0.7071271296739583,0.7647395589351655,5250
88.6,0.4898979485566356,6.694277636211366,0.6589010246997932,-2.0784037103652926,0.8138841733932488,0.8837882444858559,5500
92.6,0.8,7.079650867421059,0.6728877858401632,-2.080169565200806,0.8448447655439387,0.9069477746486667,5750
90.3,0.6403124237432849,6.888736721010996,0.6650936747038587,-2.080091445922851,0.7877209112644202,0.8623760262727734,6000
91.7,0.6403124237432849,7.107658344215283,0.6706087402573845,-2.0813404846191377,0.8693955359458925,0.9610422595739363,6250
92.1,0.7000000000000001,7.112119479849137,0.6665937452045374,-2.081600725173951,0.9726715189218519,1.0674268292188633,6500
92.3,0.45825756949558394,7.172678686029836,0.6594282111061784,-2.086521963119505,0.9813724848031994,1.0834916683435432,6750
92.8,0.6,7.082598863072934,0.6633770809718782,-2.084108686447144,0.9798994759321212,1.0895395925045033,7000
90.8,0.7483314773547882,6.97513647330939,0.6678674600706976,-2.0885978775024423,1.0244442737102515,1.1269483046531674,7250
92.2,0.7483314773547882,7.02840268492934,0.6691463075110111,-2.087210996627805,1.136489483356476,1.2612741510868064,7500
94.3,0.45825756949558394,7.205853776710719,0.6629099796268321,-2.0901497097015382,1.1529329228401202,1.2609074344635003,7750
97.6,0.66332495807108,7.282438014702579,0.6662343309609456,-2.0900620346069343,1.3603499308824543,1.4881152777671829,8000
100.0,0.0,7.425788541800449,0.632065188744625,-2.089603565216063,1.2693738996982586,1.3715363702774035,8250
91.4,0.4898979485566356,7.0149095735640845,0.653904669269412,-2.09125789833069,1.2909991905689244,1.402945353507995,8500
94.0,0.6324555320336759,7.238219528791166,0.6668462697468408,-2.0938117351531997,1.492898552894592,1.6206761138439192,8750
90.8,0.6,7.048977011842494,0.6651050884216313,-2.093538311004637,1.6448673422336586,1.769974474430085,9000
97.9,0.8306623862918076,7.235149981949373,0.6733106038789077,-2.0940018177032456,1.439569976091383,1.5695534644126907,9250
93.6,0.4898979485566356,7.118069186548517,0.6574851156574333,-2.0953419265747097,1.6872035853862761,1.842942537784577,9500
92.0,0.7745966692414834,7.099297751677695,0.6719418152462878,-2.096495481491093,1.6216255052089705,1.7275570888519296,9750
90.8,0.7483314773547882,6.995306795898318,0.6748562449334121,-2.093491790771487,1.785391142845155,1.9699027101993567,10000
91.2,0.4,6.995020558450113,0.6581934375979763,-2.0948794860839848,1.7904422369003306,1.9038213887214668,10250
90.5,0.5,6.9985035277523515,0.6562298521238729,-2.0984836959838917,1.9390852797031415,2.067959210634233,10500
98.2,0.7483314773547882,7.1868762051472235,0.6684888306418504,-2.1021318874359145,2.028886601686476,2.1973030278682724,10750
91.6,0.8,7.118288478192089,0.6734549361201798,-2.0982058048248304,2.0364403185844395,2.1397910356521606,11000
91.2,0.6,7.008299685297851,0.6652822115912864,-2.1004614915847775,2.21844807577133,2.3514478216171297,11250
91.2,0.4,7.064375826921913,0.6571133898883139,-2.101524182319642,2.090998028278351,2.2259818062782273,11500
91.5,0.806225774829855,7.074605310621394,0.681397720299613,-2.0985634956359855,2.2420244290828704,2.3781820211410536,11750
95.8,0.6,7.368549486799103,0.6684149753658428,-2.1012355079650886,2.4558260927200335,2.603878562927246,12000
91.2,0.4,7.0159091439498225,0.6510529487342305,-2.0983494348526017,2.3946969771385187,2.540971774816514,12250
96.3,0.7810249675906654,7.1673222092762305,0.6740216222010568,-2.1023778314590458,2.5219319753646863,2.663485579729077,12500
91.7,0.6403124237432849,7.011574711949524,0.6623146370352176,-2.1007340126037586,2.6642990589141835,2.801490067481997,12750
97.3,0.6403124237432849,7.30195122827255,0.6712215750311734,-2.1011656389236415,2.7598794765472396,2.9508577361106876,13000
92.3,0.6403124237432849,7.173516321999868,0.6687564504336284,-2.1009475708007814,2.8757844231128677,3.0143207209110257,13250
98.9,0.8306623862918076,7.492589646397209,0.6869779630136365,-2.1003012046813967,3.111899272203445,3.2434729981422405,13500
91.6,0.66332495807108,7.121772455151194,0.6672814214893128,-2.102510147094725,3.086055357456208,3.2047381935119645,13750
92.1,0.30000000000000004,7.133293740020655,0.6424357658356518,-2.102439823150635,3.0246595978736877,3.1608020734786986,14000
93.2,0.6,7.144819046659744,0.660751825201195,-2.101637442588805,3.2404067258834854,3.4212504429817225,14250
95.4,0.4898979485566356,7.165080871317111,0.6610361152114039,-2.10200727558136,3.5772224416732787,3.711033176422122,14500
92.0,0.4472135954999579,7.121845197281061,0.6560753153055077,-2.1029123535156247,3.6856730852127075,3.8815969629287714,14750
95.4,0.6633249580710799,7.2985983473119544,0.6698398335538398,-2.1028986577987694,3.4942670392990123,3.6292840852737442,15000
93.8,0.6,7.282167646733248,0.6640076981034534,-2.1055819225311256,3.483276365280149,3.596499717712404,15250
92.2,0.4,7.140445986628722,0.648827237942411,-2.101647169113159,3.7678956260681153,3.898083459854128,15500
100.5,0.806225774829855,7.8173826881120805,0.6765443629515898,-2.1008662528991717,3.8971596426963813,3.9483661561012258,15750
91.3,0.45825756949558394,7.033085850902021,0.6582126531661224,-2.1024436531066915,4.348469707965849,4.4653080434799115,16000
93.7,0.6403124237432849,7.19166697430613,0.6648559925626275,-2.1027356185913084,4.107026256561274,4.310111486911771,16250
105.6,0.4898979485566356,8.112175106019514,0.6654180997429422,-2.1040920982360833,4.216272352695472,4.352869623661041,16500
