alpha,eval/episode_length,eval/episode_length_std,eval/normalized_episode_reward,eval/normalized_episode_reward_std,loss/actor,loss/alpha,loss/critic1,loss/critic2,timestep
28.354685493469244,49.0,9.327379053088816,-2.978879481592054,-2.977967698656773,5335.731035888672,-93.02756814575196,1532294.7400000002,1412120.0177500006,40750
29.145501380920386,46.1,4.459820624195552,-3.7452659078602855,-2.542654702448773,2606.1381253662107,-101.75000045776363,520548.5518749999,510748.4425000002,41000
29.971014938354482,41.6,2.8000000000000003,-1.7268889894726338,0.6269337231229328,-101.55095922851511,-106.59085424804684,538443.7202500004,528460.3130000005,41250
30.823299201965366,46.9,5.61159513863928,-2.692403729656069,-0.8576320376059485,-2516.1941852417,-110.28751126098622,574963.4028750008,563744.9511249991,41500
31.69218022155761,56.9,16.065179737556626,-3.8696601032458893,-2.541843578569573,-5115.750975341801,-113.80605743408209,606624.2346249992,594157.6555000003,41750
32.5841803131104,49.4,9.531002045955084,-2.8799117808819688,-1.244914254938142,-7684.473083984376,-117.80864074707029,589558.3781249993,566986.9452499995,42000
33.48457600402833,63.4,20.664946164943185,-3.665553367239951,-2.6059203486321754,-9675.200244140633,-118.31993121337882,563382.7523750003,532448.1803750001,42250
34.38759713745119,61.5,19.956202043475106,-1.7709684668731458,1.5506413090215159,-11679.31340429688,-118.58571560668935,535197.1527500001,505715.1477500004,42500
35.30019674682622,60.0,21.62868465718616,0.04829951668562535,4.335366342806021,-13766.243375000011,-120.03709780883793,553577.5000000001,522953.82437500014,42750
36.232929672241234,54.3,21.99568139431011,-1.652368772361907,2.4663281468782303,-15787.653007812498,-121.49212481689449,532931.9862499994,515269.9075,43000
37.182541931152315,51.1,8.117265549432272,-0.27694075091102294,3.277283812860138,-17528.39457421878,-122.69079479980473,540102.5830000002,527341.2353125007,43250
38.154429656982444,50.7,9.209234495874236,2.4027998856880117,4.036803670483223,-19926.961011718748,-124.9020469055177,543133.0008749999,528831.9214999996,43500
39.154513687133814,54.2,16.110865898517062,-2.8835235012521903,-0.9562090747472907,-21873.764253906244,-127.36262396240232,567190.174125,552375.6970625002,43750
40.18813563537599,54.9,20.69033590834136,-3.6523596625626404,-2.157328296965133,-24645.223546875,-130.24793151855465,584917.7639999988,565281.3546250004,44000
41.243939514160125,45.1,6.9346953790343235,-1.6454483412955967,1.0041595350245354,-27070.936156250005,-131.0576726074218,590771.8143750002,572539.535625,44250
42.32101174926758,54.4,18.730723424363514,-0.5384088669806104,3.65476433005988,-29817.88225000002,-133.12227301025376,674866.8687499997,643860.1881250005,44500
43.430240692138746,53.4,6.248199740725323,-2.114114351785378,0.5824390569676926,-32674.35229687498,-135.64547735595738,719341.6984999999,675749.2310000008,44750
44.562668334960904,50.2,9.77547952787995,1.6100781269863549,4.109900214004807,-35786.3189375,-136.42954058837876,772629.669625,729592.6229999999,45000
45.71799623107905,52.3,7.550496672405068,-1.1345030463478332,1.534487027475772,-39291.025507812505,-137.20453265380863,896933.2253749998,836643.8273750009,45250
46.89696519470213,61.4,18.559094805512473,-3.334585467292849,-2.3983310981843147,-43107.946140625005,-138.6332133178711,954778.9589999996,902152.3474999998,45500
48.139078353881835,55.2,9.4,-1.2241455191224775,1.605178916892616,-48892.09079687502,-140.68958654785163,4283699.049749996,3702449.9014999964,45750
49.399901473999066,55.2,17.9655225362359,-0.9387720045066803,1.9935925328984516,-56493.72693749998,-147.26766784667984,1632891.0664999995,1576554.7882499998,46000
50.715678176879905,68.8,23.81092186371624,-2.5438971145118754,0.22975431353740766,-63845.0086875,-151.2482817382813,1849163.0065,1784359.8009999986,46250
52.08666972351077,79.4,21.062763351469343,18.33942768527654,50.225273184313146,-72283.79810937506,-157.67001507568352,1896352.0700000003,1842547.20475,46500
53.50452824401857,71.4,24.021656895393374,-1.4494457445588087,4.40034707255271,-80948.48587499998,-162.13150665283223,1899288.5830000008,1802020.5045,46750
