alpha,eval/episode_length,eval/episode_length_std,eval/normalized_episode_reward,eval/normalized_episode_reward_std,loss/actor,loss/alpha,loss/critic1,loss/critic2,timestep
0.9876126883029935,800.0,0.0,-9.132118119402712,-9.309729713012132,-2.819053082942963,-0.040352276183548356,11.33832237243652,11.284348297119127,250
0.9637799260616301,800.0,0.0,-5.6295300825177605,-4.306323305559361,-2.4616299772262566,-0.11629952090978632,9.78759454345703,9.738231616973867,500
0.9400149767398839,800.0,0.0,-9.646983780471869,-9.097648221295952,-2.6010226192474364,-0.1940836609601973,9.56245360183717,9.5661510734558,750
0.9172826747894273,800.0,0.0,-7.9937789136486925,-8.186965483471374,-2.645763342857365,-0.26729803627729426,9.196782829284674,9.208704326629638,1000
0.8951622018814085,800.0,0.0,-6.30820769482934,-4.790591147945295,-2.57264001178741,-0.33898854792118077,9.051638833999645,9.01804767227173,1250
0.8736339051723485,800.0,0.0,-7.857342102398679,-8.69283437247515,-2.4169068102836597,-0.40765594458580034,8.897689010620129,8.826964427947996,1500
0.8526988410949706,800.0,0.0,-8.12126678311536,-8.789198023141847,-2.137998720169067,-0.4752514059543612,8.741220920562736,8.622267663955686,1750
0.8323048048019411,800.0,0.0,-4.963416393912458,-4.817660550531917,-1.7999501614570632,-0.5426741951704032,8.730315513610853,8.576490360260012,2000
0.8124286186695101,800.0,0.0,-9.485543865634154,-9.86829751047091,-1.3176613696813588,-0.6048675096034999,8.620821098327632,8.458006229400649,2250
0.7931555151939396,800.0,0.0,-5.710136428980428,-3.6639642982148017,-0.7834573057889935,-0.6638099029064173,8.513438745498652,8.32171085739136,2500
0.7743940627574921,800.0,0.0,-5.749560768012489,-5.678409435005995,-0.17116518277674914,-0.722397724151611,8.483074985504159,8.285580471038816,2750
0.7561689007282264,800.0,0.0,-8.607667369468604,-9.427397436146395,0.48534784576296847,-0.7744043612480161,8.515028125762935,8.32202205467223,3000
0.7384720373153686,800.0,0.0,-6.434658122090793,-5.565923774894042,1.1701500943303127,-0.8241402597427363,8.405257270812989,8.192828231811529,3250
0.7213241438865653,800.0,0.0,-4.265105215885118,-5.096544654874665,1.9611221553087226,-0.8680268902778628,8.436789087295534,8.209295583724966,3500
0.7046812613010416,800.0,0.0,-9.696075328709457,-9.186201866168888,2.7556388227939603,-0.9072459859848019,8.344339002609262,8.088225793838506,3750
0.6886370790004736,800.0,0.0,0.1707372964912833,-0.7128683763252007,3.5939138813018827,-0.9360357730388641,8.281664093017575,8.073535545349124,4000
0.6730655624866484,800.0,0.0,-0.2857160811603085,-3.785303438559396,4.51160318660736,-0.9624178535938255,8.302690948486315,8.059867519378662,4250
0.6580186235904703,800.0,0.0,-8.031690470895352,-6.407698254260858,5.398520190238951,-0.985627378940582,8.185096748352047,8.026634832382191,4500
0.6434581582546233,800.0,0.0,-4.4828407881340455,-4.282194652019027,6.308505020141609,-1.0002795658111572,8.22201999282837,7.973816957473762,4750
0.6293926506042479,800.0,0.0,-6.561621855089041,-2.6230685574577537,7.174511819839476,-1.0141420092582702,8.318479915618898,8.092740100860592,5000
0.6155906345844273,800.0,0.0,6.201140935341955,20.187338772743974,8.146042577743534,-1.0442834730148312,8.33761257743836,8.067114444732653,5250
